reward,average reward,10 episode average reward
-104,-104.0,-104.0
-112,-108.0,-108.0
-110,-108.66666666666667,-108.66666666666667
-117,-110.75,-110.75
-105,-109.6,-109.6
-92,-106.66666666666667,-106.66666666666667
-84,-103.42857142857143,-103.42857142857143
-93,-102.125,-102.125
-98,-101.66666666666667,-101.66666666666667
-2,-91.7,-91.7
-44,-87.36363636363636,-87.36363636363636
183,-64.83333333333333,-64.83333333333333
38,-56.92307692307692,-56.92307692307692
43,-49.785714285714285,-49.785714285714285
-57,-50.266666666666666,-50.266666666666666
-88,-52.625,-52.625
141,-41.23529411764706,-41.23529411764706
98,-33.5,-33.5
114,-25.736842105263158,-25.736842105263158
9,-24.0,-24.0
-18,-23.714285714285715,-23.714285714285715
12,-22.09090909090909,-22.09090909090909
-72,-24.26086956521739,-24.26086956521739
-83,-26.708333333333332,-26.708333333333332
-83,-28.96,-28.96
-84,-31.076923076923077,-31.076923076923077
50,-28.074074074074073,-28.074074074074073
18,-26.428571428571427,-26.428571428571427
26,-24.620689655172413,-24.620689655172413
41,-22.433333333333334,-22.433333333333334
138,-17.258064516129032,-17.258064516129032
-28,-17.59375,-17.59375
142,-12.757575757575758,-12.757575757575758
50,-10.911764705882353,-10.911764705882353
29,-9.771428571428572,-9.771428571428572
-6,-9.666666666666666,-9.666666666666666
55,-7.918918918918919,-7.918918918918919
389,2.526315789473684,2.526315789473684
216,8.0,8.0
121,10.825,10.825
156,14.365853658536585,14.365853658536585
196,18.69047619047619,18.69047619047619
650,33.372093023255815,33.372093023255815
114,35.20454545454545,35.20454545454545
264,40.28888888888889,40.28888888888889
83,41.21739130434783,41.21739130434783
348,47.744680851063826,47.744680851063826
197,50.854166666666664,50.854166666666664
132,52.51020408163265,52.51020408163265
-47,50.52,50.52
158,52.627450980392155,52.627450980392155
301,57.40384615384615,57.40384615384615
71,57.660377358490564,57.660377358490564
176,59.851851851851855,59.851851851851855
17,59.07272727272727,59.07272727272727
180,61.232142857142854,61.232142857142854
501,68.94736842105263,68.94736842105263
592,77.96551724137932,77.96551724137932
278,81.35593220338983,81.35593220338983
459,87.65,87.65
22,86.57377049180327,86.57377049180327
82,86.5,86.5
425,91.87301587301587,91.87301587301587
-34,89.90625,89.90625
34,89.04615384615384,89.04615384615384
81,88.92424242424242,88.92424242424242
490,94.91044776119404,94.91044776119404
220,96.75,96.75
111,96.95652173913044,96.95652173913044
229,98.84285714285714,98.84285714285714
95,98.78873239436619,98.78873239436619
465,103.875,103.875
148,104.47945205479452,104.47945205479452
257,106.54054054054055,106.54054054054055
50,105.78666666666666,105.78666666666666
158,106.47368421052632,106.47368421052632
311,109.12987012987013,109.12987012987013
237,110.76923076923077,110.76923076923077
125,110.9493670886076,110.9493670886076
134,111.2375,111.2375
83,110.88888888888889,110.88888888888889
263,112.7439024390244,112.7439024390244
396,116.1566265060241,116.1566265060241
359,119.04761904761905,119.04761904761905
230,120.3529411764706,120.3529411764706
-9,118.84883720930233,118.84883720930233
256,120.42528735632185,120.42528735632185
207,121.4090909090909,121.4090909090909
242,122.76404494382022,122.76404494382022
294,124.66666666666667,124.66666666666667
193,125.41758241758242,125.41758241758242
591,130.47826086956522,130.47826086956522
56,129.67741935483872,129.67741935483872
348,132.0,132.0
250,133.2421052631579,133.2421052631579
208,134.02083333333334,134.02083333333334
499,137.7835051546392,137.7835051546392
75,137.14285714285714,137.14285714285714
5,135.8080808080808,135.8080808080808
-81,133.64,133.64
