reward,average reward,10 episode average reward
-87,-87.0,-87.0
-96,-91.5,-91.5
-109,-97.33333333333333,-97.33333333333333
-94,-96.5,-96.5
-96,-96.4,-96.4
-88,-95.0,-95.0
-90,-94.28571428571429,-94.28571428571429
-79,-92.375,-92.375
-86,-91.66666666666667,-91.66666666666667
-111,-93.6,-93.6
-111,-95.18181818181819,-95.18181818181819
90,-79.75,-79.75
-87,-80.3076923076923,-80.3076923076923
35,-72.07142857142857,-72.07142857142857
57,-63.46666666666667,-63.46666666666667
53,-56.1875,-56.1875
22,-51.588235294117645,-51.588235294117645
87,-43.888888888888886,-43.888888888888886
50,-38.94736842105263,-38.94736842105263
-10,-37.5,-37.5
70,-32.38095238095238,-32.38095238095238
314,-16.636363636363637,-16.636363636363637
170,-8.521739130434783,-8.521739130434783
720,21.833333333333332,21.833333333333332
148,26.88,26.88
266,36.07692307692308,36.07692307692308
412,50.0,50.0
169,54.25,54.25
175,58.41379310344828,58.41379310344828
337,67.7,67.7
55,67.29032258064517,67.29032258064517
-52,63.5625,63.5625
61,63.484848484848484,63.484848484848484
23,62.294117647058826,62.294117647058826
229,67.05714285714286,67.05714285714286
120,68.52777777777777,68.52777777777777
121,69.94594594594595,69.94594594594595
127,71.44736842105263,71.44736842105263
22,70.17948717948718,70.17948717948718
-60,66.925,66.925
9,65.51219512195122,65.51219512195122
91,66.11904761904762,66.11904761904762
64,66.06976744186046,66.06976744186046
200,69.11363636363636,69.11363636363636
53,68.75555555555556,68.75555555555556
423,76.45652173913044,76.45652173913044
211,79.31914893617021,79.31914893617021
71,79.14583333333333,79.14583333333333
75,79.06122448979592,79.06122448979592
280,83.08,83.08
248,86.31372549019608,86.31372549019608
51,85.63461538461539,85.63461538461539
-73,82.64150943396227,82.64150943396227
9,81.27777777777777,81.27777777777777
137,82.2909090909091,82.2909090909091
313,86.41071428571429,86.41071428571429
113,86.87719298245614,86.87719298245614
33,85.94827586206897,85.94827586206897
221,88.23728813559322,88.23728813559322
54,87.66666666666667,87.66666666666667
166,88.95081967213115,88.95081967213115
194,90.64516129032258,90.64516129032258
241,93.03174603174604,93.03174603174604
470,98.921875,98.921875
361,102.95384615384616,102.95384615384616
-89,100.04545454545455,100.04545454545455
-33,98.05970149253731,98.05970149253731
242,100.17647058823529,100.17647058823529
-89,97.43478260869566,97.43478260869566
112,97.64285714285714,97.64285714285714
-7,96.16901408450704,96.16901408450704
94,96.13888888888889,96.13888888888889
29,95.21917808219177,95.21917808219177
26,94.28378378378379,94.28378378378379
40,93.56,93.56
254,95.67105263157895,95.67105263157895
44,95.0,95.0
36,94.24358974358974,94.24358974358974
-2,93.0253164556962,93.0253164556962
123,93.4,93.4
111,93.61728395061728,93.61728395061728
348,96.71951219512195,96.71951219512195
-72,94.6867469879518,94.6867469879518
-90,92.48809523809524,92.48809523809524
-92,90.31764705882352,90.31764705882352
-93,88.18604651162791,88.18604651162791
-92,86.11494252873563,86.11494252873563
-92,84.0909090909091,84.0909090909091
-93,82.10112359550561,82.10112359550561
-93,80.15555555555555,80.15555555555555
-102,78.15384615384616,78.15384615384616
-100,76.21739130434783,76.21739130434783
172,77.24731182795699,77.24731182795699
179,78.32978723404256,78.32978723404256
60,78.13684210526316,78.13684210526316
144,78.82291666666667,78.82291666666667
27,78.28865979381443,78.28865979381443
107,78.58163265306122,78.58163265306122
-79,76.98989898989899,76.98989898989899
80,77.02,77.02
