reward,average reward,10 episode average reward
-95,-95.0,-95.0
-98,-96.5,-96.5
-115,-102.66666666666667,-102.66666666666667
-103,-102.75,-102.75
-117,-105.6,-105.6
-93,-103.5,-103.5
-96,-102.42857142857143,-102.42857142857143
-110,-103.375,-103.375
-107,-103.77777777777777,-103.77777777777777
-91,-102.5,-102.5
-99,-102.18181818181819,-102.18181818181819
-103,-102.25,-102.25
-92,-101.46153846153847,-101.46153846153847
-75,-99.57142857142857,-99.57142857142857
-108,-100.13333333333334,-100.13333333333334
-100,-100.125,-100.125
-8,-94.70588235294117,-94.70588235294117
388,-67.88888888888889,-67.88888888888889
101,-59.0,-59.0
-3,-56.2,-56.2
-51,-55.95238095238095,-55.95238095238095
382,-36.04545454545455,-36.04545454545455
457,-14.608695652173912,-14.608695652173912
120,-9.0,-9.0
369,6.12,6.12
354,19.5,19.5
729,45.77777777777778,45.77777777777778
562,64.21428571428571,64.21428571428571
328,73.3103448275862,73.3103448275862
257,79.43333333333334,79.43333333333334
292,86.29032258064517,86.29032258064517
525,100.0,100.0
62,98.84848484848484,98.84848484848484
146,100.23529411764706,100.23529411764706
549,113.05714285714286,113.05714285714286
53,111.38888888888889,111.38888888888889
400,119.1891891891892,119.1891891891892
871,138.97368421052633,138.97368421052633
245,141.69230769230768,141.69230769230768
402,148.2,148.2
396,154.2439024390244,154.2439024390244
576,164.28571428571428,164.28571428571428
828,179.72093023255815,179.72093023255815
126,178.5,178.5
584,187.51111111111112,187.51111111111112
196,187.69565217391303,187.69565217391303
429,192.82978723404256,192.82978723404256
934,208.27083333333334,208.27083333333334
345,211.0612244897959,211.0612244897959
177,210.38,210.38
540,216.84313725490196,216.84313725490196
415,220.65384615384616,220.65384615384616
-35,215.83018867924528,215.83018867924528
231,216.11111111111111,216.11111111111111
-47,211.3272727272727,211.3272727272727
390,214.51785714285714,214.51785714285714
350,216.89473684210526,216.89473684210526
-18,212.8448275862069,212.8448275862069
565,218.8135593220339,218.8135593220339
386,221.6,221.6
592,227.672131147541,227.672131147541
411,230.6290322580645,230.6290322580645
404,233.38095238095238,233.38095238095238
185,232.625,232.625
156,231.44615384615383,231.44615384615383
127,229.86363636363637,229.86363636363637
18,226.70149253731344,226.70149253731344
429,229.6764705882353,229.6764705882353
322,231.0144927536232,231.0144927536232
412,233.6,233.6
391,235.81690140845072,235.81690140845072
782,243.40277777777777,243.40277777777777
367,245.0958904109589,245.0958904109589
346,246.45945945945945,246.45945945945945
424,248.82666666666665,248.82666666666665
685,254.56578947368422,254.56578947368422
35,251.71428571428572,251.71428571428572
388,253.46153846153845,253.46153846153845
381,255.0759493670886,255.0759493670886
422,257.1625,257.1625
455,259.60493827160496,259.60493827160496
606,263.8292682926829,263.8292682926829
249,263.65060240963857,263.65060240963857
289,263.95238095238096,263.95238095238096
308,264.47058823529414,264.47058823529414
250,264.30232558139534,264.30232558139534
119,262.632183908046,262.632183908046
474,265.03409090909093,265.03409090909093
299,265.4157303370786,265.4157303370786
385,266.74444444444447,266.74444444444447
674,271.2197802197802,271.2197802197802
508,273.79347826086956,273.79347826086956
616,277.4731182795699,277.4731182795699
270,277.3936170212766,277.3936170212766
428,278.9789473684211,278.9789473684211
609,282.4166666666667,282.4166666666667
275,282.340206185567,282.340206185567
204,281.5408163265306,281.5408163265306
201,280.72727272727275,280.72727272727275
206,279.98,279.98
