reward,average reward,10 episode average reward,score,average score,10 episode average score
-108,-108.0,-108.0,1,1.0,1.0
-102,-105.0,-105.0,0,0.5,0.5
-117,-109.0,-109.0,0,0.3333333333333333,0.3333333333333333
-110,-109.25,-109.25,0,0.25,0.25
-114,-110.2,-110.2,0,0.2,0.2
-92,-107.16666666666667,-107.16666666666667,1,0.3333333333333333,0.3333333333333333
-85,-104.0,-104.0,1,0.42857142857142855,0.42857142857142855
-93,-102.625,-102.625,0,0.375,0.375
-74,-99.44444444444444,-99.44444444444444,1,0.4444444444444444,0.4444444444444444
42,-85.3,-85.3,7,1.1,1.1
-15,-78.9090909090909,-76.0,5,1.4545454545454546,1.5
114,-62.833333333333336,-54.4,10,2.1666666666666665,2.5
132,-47.84615384615385,-29.5,11,2.8461538461538463,3.6
193,-30.642857142857142,0.8,13,3.5714285714285716,4.9
76,-23.533333333333335,19.8,8,3.8666666666666667,5.7
541,11.75,83.1,26,5.25,8.2
192,22.352941176470587,110.8,11,5.588235294117647,9.2
419,44.388888888888886,162.0,21,6.444444444444445,11.3
131,48.94736842105263,182.5,12,6.7368421052631575,12.4
603,76.65,238.6,29,7.85,14.6
266,85.66666666666667,266.7,16,8.238095238095237,15.7
502,104.5909090909091,305.5,26,9.045454545454545,17.3
218,109.52173913043478,314.1,15,9.304347826086957,17.7
256,115.625,320.4,14,9.5,17.8
196,118.84,332.4,13,9.64,18.3
243,123.61538461538461,302.6,14,9.807692307692308,17.1
335,131.44444444444446,316.9,17,10.074074074074074,17.7
809,155.64285714285714,355.9,37,11.035714285714286,19.3
139,155.06896551724137,356.7,11,11.03448275862069,19.2
684,172.7,364.8,32,11.733333333333333,19.5
506,183.4516129032258,388.8,25,12.161290322580646,20.4
340,188.34375,372.6,18,12.34375,19.6
191,188.42424242424244,369.9,12,12.333333333333334,19.3
329,192.55882352941177,377.2,19,12.529411764705882,19.8
148,191.28571428571428,372.4,10,12.457142857142857,19.5
131,189.61111111111111,361.2,11,12.416666666666666,19.2
543,199.16216216216216,382.0,26,12.783783783783784,20.1
431,205.26315789473685,344.2,26,13.131578947368421,19.0
300,207.69230769230768,360.3,18,13.256410256410257,19.7
300,210.0,321.9,17,13.35,18.2
259,211.1951219512195,297.2,15,13.390243902439025,17.2
250,212.11904761904762,288.2,17,13.476190476190476,17.1
441,217.4418604651163,313.2,23,13.69767441860465,18.2
-23,211.97727272727272,278.0,5,13.5,16.8
434,216.9111111111111,306.6,22,13.688888888888888,18.0
718,227.80434782608697,365.3,32,14.08695652173913,20.1
572,235.12765957446808,368.2,27,14.361702127659575,20.2
143,233.20833333333334,339.4,9,14.25,18.5
569,240.0612244897959,366.3,29,14.551020408163266,19.6
263,240.52,362.6,14,14.54,19.3
178,239.2941176470588,354.5,11,14.470588235294118,18.9
-70,233.34615384615384,322.5,1,14.211538461538462,17.3
298,234.56603773584905,308.2,20,14.320754716981131,17.0
1160,251.7037037037037,426.5,50,14.981481481481481,21.5
637,258.7090909090909,446.8,31,15.272727272727273,22.4
398,261.19642857142856,414.8,20,15.357142857142858,21.2
602,267.17543859649123,417.8,30,15.614035087719298,21.5
292,267.6034482758621,432.7,17,15.637931034482758,22.3
46,263.8474576271187,380.4,8,15.508474576271187,20.2
765,272.2,430.6,40,15.916666666666666,22.8
72,268.91803278688525,420.0,6,15.754098360655737,22.3
768,276.96774193548384,503.8,35,16.06451612903226,25.7
427,279.3492063492063,516.7,21,16.142857142857142,25.8
251,278.90625,425.8,17,16.15625,22.5
239,278.2923076923077,386.0,15,16.138461538461538,20.9
