reward,average reward,10 episode average reward,score,average score,10 episode average score
-97,-97.0,-97.0,0,0.0,0.0
-91,-94.0,-94.0,0,0.0,0.0
-98,-95.33333333333333,-95.33333333333333,0,0.0,0.0
-110,-99.0,-99.0,0,0.0,0.0
-97,-98.6,-98.6,0,0.0,0.0
-97,-98.33333333333333,-98.33333333333333,0,0.0,0.0
-111,-100.14285714285714,-100.14285714285714,0,0.0,0.0
-95,-99.5,-99.5,0,0.0,0.0
-93,-98.77777777777777,-98.77777777777777,0,0.0,0.0
-95,-98.4,-98.4,0,0.0,0.0
-92,-97.81818181818181,-97.9,0,0.0,0.0
-92,-97.33333333333333,-98.0,0,0.0,0.0
-75,-95.61538461538461,-95.7,1,0.07692307692307693,0.1
-98,-95.78571428571429,-94.5,0,0.07142857142857142,0.1
-100,-96.06666666666666,-94.8,0,0.06666666666666667,0.1
-91,-95.75,-94.2,0,0.0625,0.1
-93,-95.58823529411765,-92.4,0,0.058823529411764705,0.1
-94,-95.5,-92.3,0,0.05555555555555555,0.1
-99,-95.6842105263158,-92.9,0,0.05263157894736842,0.1
-73,-94.55,-90.7,1,0.1,0.2
-100,-94.80952380952381,-91.5,0,0.09523809523809523,0.2
-100,-95.04545454545455,-92.3,0,0.09090909090909091,0.2
-98,-95.17391304347827,-94.6,0,0.08695652173913043,0.1
-103,-95.5,-95.1,0,0.08333333333333333,0.1
-98,-95.6,-94.9,0,0.08,0.1
-94,-95.53846153846153,-95.2,1,0.11538461538461539,0.2
-18,-92.66666666666667,-87.7,5,0.2962962962962963,0.7
18,-88.71428571428571,-76.5,5,0.4642857142857143,1.2
42,-84.20689655172414,-62.4,6,0.6551724137931034,1.8
12,-81.0,-53.9,5,0.8,2.2
60,-76.45161290322581,-37.9,6,0.967741935483871,2.8
29,-73.15625,-25.0,5,1.09375,3.3
-59,-72.72727272727273,-21.1,2,1.121212121212121,3.5
-59,-72.32352941176471,-16.7,1,1.1176470588235294,3.6
43,-69.02857142857142,-2.6,6,1.2571428571428571,4.2
20,-66.55555555555556,8.8,6,1.3888888888888888,4.7
207,-59.16216216216216,31.3,12,1.6756756756756757,5.4
8,-57.39473684210526,30.3,5,1.763157894736842,5.4
283,-48.666666666666664,54.4,16,2.128205128205128,6.4
70,-45.7,60.2,8,2.275,6.7
56,-43.21951219512195,59.8,8,2.4146341463414633,6.9
-3,-42.26190476190476,56.6,4,2.4523809523809526,6.8
78,-39.46511627906977,70.3,9,2.604651162790698,7.5
178,-34.52272727272727,94.0,11,2.7954545454545454,8.5
112,-31.266666666666666,100.9,9,2.933333333333333,8.8
56,-29.369565217391305,104.5,7,3.0217391304347827,8.9
-84,-30.53191489361702,75.4,0,2.9574468085106385,7.7
-84,-31.645833333333332,66.2,0,2.8958333333333335,7.2
252,-25.857142857142858,63.1,15,3.142857142857143,7.1
15,-25.04,57.6,5,3.18,6.8
374,-17.215686274509803,89.4,21,3.5294117647058822,8.1
77,-15.403846153846153,97.4,9,3.6346153846153846,8.6
-88,-16.77358490566038,80.8,0,3.5660377358490565,7.7
-88,-18.09259259259259,54.2,0,3.5,6.6
251,-13.2,68.1,15,3.709090909090909,7.2
629,-1.7321428571428572,125.4,30,4.178571428571429,9.5
286,3.3157894736842106,162.4,16,4.385964912280702,11.1
-19,2.9310344827586206,168.9,3,4.362068965517241,11.4
314,8.203389830508474,175.1,15,4.5423728813559325,11.4
173,10.95,190.9,12,4.666666666666667,12.1
-67,9.672131147540984,146.8,1,4.60655737704918,10.1
27,9.951612903225806,141.8,5,4.612903225806452,9.7
53,10.634920634920634,155.9,7,4.650793650793651,10.4
303,15.203125,195.0,19,4.875,12.3
2,15.0,170.1,5,4.876923076923077,11.3
161,17.21212121212121,123.3,9,4.9393939393939394,9.2
82,18.17910447761194,102.9,7,4.970149253731344,8.3
155,20.191176470588236,120.3,12,5.073529411764706,9.2
-2,19.869565217391305,88.7,5,5.072463768115942,8.2
120,21.3,83.4,11,5.1571428571428575,8.1
224,24.154929577464788,112.5,12,5.253521126760563,9.2
61,24.666666666666668,115.9,7,5.277777777777778,9.4
236,27.561643835616437,134.2,15,5.410958904109589,10.2
288,31.08108108108108,132.7,18,5.581081081081081,10.1
95,31.933333333333334,142.0,10,5.64,10.6
88,32.671052631578945,134.7,8,5.671052631578948,10.5
-27,31.896103896103895,123.8,3,5.636363636363637,10.1
462,37.41025641025641,154.5,23,5.858974358974359,11.2
380,41.74683544303797,192.7,20,6.037974683544304,12.7
329,45.3375,213.6,19,6.2,13.5
76,45.71604938271605,198.8,9,6.234567901234568,13.2
248,48.18292682926829,217.5,15,6.341463414634147,14.0
434,52.83132530120482,237.3,21,6.518072289156627,14.6
171,54.23809523809524,225.6,10,6.559523809523809,13.8
295,57.07058823529412,245.6,19,6.705882352941177,14.7
385,60.883720930232556,275.3,23,6.895348837209302,16.2
161,62.03448275862069,294.1,12,6.954022988505747,17.1
143,62.95454545454545,262.2,11,7.0,15.9
403,66.7752808988764,264.5,24,7.191011235955056,16.3
9,66.13333333333334,232.5,5,7.166666666666667,14.9
254,68.1978021978022,250.3,16,7.263736263736264,15.6
72,68.23913043478261,232.7,7,7.260869565217392,14.8
292,70.64516129032258,218.5,18,7.376344086021505,14.5
137,71.35106382978724,215.1,9,7.3936170212765955,14.4
40,71.02105263157895,189.6,7,7.389473684210526,13.2
52,70.82291666666667,156.3,7,7.385416666666667,11.6
147,71.6082474226804,154.9,11,7.422680412371134,11.5
-13,70.74489795918367,139.3,3,7.377551020408164,10.7
84,70.87878787878788,107.4,8,7.383838383838384,9.1
284,73.01,134.9,17,7.48,10.3
157,73.84158415841584,125.2,11,7.514851485148514,9.8
-3,73.08823529411765,117.7,5,7.490196078431373,9.6
20,72.57281553398059,90.5,7,7.485436893203883,8.5
431,76.01923076923077,119.9,23,7.634615384615385,9.9
118,76.41904761904762,127.7,10,7.6571428571428575,10.2
21,75.89622641509433,124.6,8,7.660377358490566,10.3
105,76.16822429906541,120.4,10,7.682242990654205,10.2
-108,74.46296296296296,110.9,0,7.611111111111111,9.9
146,75.11926605504587,117.1,11,7.6422018348623855,10.2
225,76.48181818181818,111.2,14,7.7,9.9
417,79.54954954954955,137.2,23,7.837837837837838,11.1
152,80.19642857142857,152.7,13,7.883928571428571,11.9
119,80.53982300884955,162.6,7,7.876106194690266,11.9
452,83.79824561403508,164.7,24,8.017543859649123,12.0
622,88.47826086956522,215.1,32,8.226086956521739,14.2
257,89.93103448275862,238.7,16,8.293103448275861,15.0
471,93.1880341880342,275.3,27,8.452991452991453,16.7
210,94.17796610169492,307.1,14,8.5,18.1
360,96.41176470588235,328.5,21,8.605042016806722,19.1
349,98.51666666666667,340.9,18,8.683333333333334,19.5
87,98.42148760330579,307.9,8,8.677685950413224,18.0
204,99.28688524590164,313.1,12,8.704918032786885,17.9
291,100.84552845528455,330.3,19,8.788617886178862,19.1
25,100.23387096774194,287.6,5,8.758064516129032,17.2
246,101.4,250.0,18,8.832,15.8
288,102.88095238095238,253.1,17,8.896825396825397,15.9
68,102.60629921259843,212.8,6,8.874015748031496,13.8
296,104.1171875,221.4,19,8.953125,14.3
124,104.27131782945736,197.8,10,8.96124031007752,13.2
575,107.8923076923077,220.4,26,9.092307692307692,14.0
741,112.72519083969466,285.8,34,9.282442748091603,16.6
335,114.4090909090909,298.9,19,9.356060606060606,17.3
404,116.58646616541354,310.2,21,9.443609022556391,17.5
226,117.40298507462687,330.3,14,9.477611940298507,18.4
392,119.43703703703704,344.9,21,9.562962962962963,18.7
665,123.44852941176471,382.6,30,9.713235294117647,20.0
400,125.46715328467154,415.8,23,9.81021897810219,21.7
301,126.73913043478261,416.3,16,9.855072463768115,21.4
96,126.5179856115108,413.5,10,9.856115107913668,21.4
47,125.95,360.7,8,9.842857142857143,19.6
274,127.0,314.0,17,9.893617021276595,17.9
443,129.22535211267606,324.8,23,9.985915492957746,18.3
393,131.06993006993008,323.7,20,10.055944055944057,18.2
13,130.25,302.4,5,10.020833333333334,17.3
386,132.01379310344828,301.8,20,10.089655172413794,17.2
74,131.6164383561644,242.7,10,10.08904109589041,15.2
210,132.14965986394557,223.7,13,10.108843537414966,14.2
376,133.7972972972973,231.2,21,10.182432432432432,14.7
436,135.8255033557047,265.2,24,10.275167785234899,16.1
230,136.45333333333335,283.5,16,10.313333333333333,16.9
