reward,average reward,10 episode average reward,score,average score,10 episode average score
-111,-111.0,-111.0,0,0.0,0.0
-109,-110.0,-110.0,0,0.0,0.0
-93,-104.33333333333333,-104.33333333333333,1,0.3333333333333333,0.3333333333333333
-106,-104.75,-104.75,0,0.25,0.25
-107,-105.2,-105.2,0,0.2,0.2
-102,-104.66666666666667,-104.66666666666667,0,0.16666666666666666,0.16666666666666666
-112,-105.71428571428571,-105.71428571428571,0,0.14285714285714285,0.14285714285714285
-107,-105.875,-105.875,0,0.125,0.125
-85,-103.55555555555556,-103.55555555555556,1,0.2222222222222222,0.2222222222222222
-92,-102.4,-102.4,0,0.2,0.2
65,-87.18181818181819,-84.8,7,0.8181818181818182,0.9
49,-75.83333333333333,-69.0,6,1.25,1.5
-27,-72.07692307692308,-62.4,3,1.3846153846153846,1.7
230,-50.5,-28.8,15,2.357142857142857,3.2
160,-36.46666666666667,-2.1,12,3.0,4.4
414,-8.3125,49.5,21,4.125,6.5
31,-6.0,63.8,5,4.176470588235294,7.0
291,10.5,103.6,15,4.777777777777778,8.5
482,35.31578947368421,160.3,25,5.842105263157895,10.9
491,58.1,218.6,26,6.85,13.5
113,60.714285714285715,223.4,10,7.0,13.8
461,78.9090909090909,264.6,25,7.818181818181818,15.7
319,89.34782608695652,299.2,19,8.304347826086957,17.3
361,100.66666666666667,312.3,19,8.75,17.7
219,105.4,318.2,16,9.04,18.1
385,116.15384615384616,315.3,20,9.461538461538462,18.0
341,124.48148148148148,346.3,19,9.814814814814815,19.4
636,142.75,380.8,32,10.607142857142858,21.1
255,146.6206896551724,358.1,15,10.758620689655173,20.1
252,150.13333333333333,334.2,17,10.966666666666667,19.2
120,149.16129032258064,334.9,9,10.903225806451612,19.1
169,149.78125,305.7,13,10.96875,17.9
210,151.6060606060606,294.8,13,11.030303030303031,17.3
-32,146.2058823529412,255.5,3,10.794117647058824,15.7
297,150.5142857142857,263.3,20,11.057142857142857,16.1
94,148.94444444444446,234.2,9,11.0,15.0
341,154.13513513513513,234.2,20,11.243243243243244,15.1
443,161.73684210526315,214.9,22,11.526315789473685,14.1
356,166.71794871794873,225.0,19,11.717948717948717,14.5
-24,161.95,197.4,3,11.5,13.1
43,159.0487804878049,189.7,6,11.365853658536585,12.8
