reward,average reward,10 episode average reward,score,average score,10 episode average score
-107,-107.0,-107.0,0,0.0,0.0
-102,-104.5,-104.5,0,0.0,0.0
-98,-102.33333333333333,-102.33333333333333,0,0.0,0.0
-100,-101.75,-101.75,0,0.0,0.0
-105,-102.4,-102.4,0,0.0,0.0
-106,-103.0,-103.0,0,0.0,0.0
-79,-99.57142857142857,-99.57142857142857,1,0.14285714285714285,0.14285714285714285
-101,-99.75,-99.75,0,0.125,0.125
-115,-101.44444444444444,-101.44444444444444,0,0.1111111111111111,0.1111111111111111
-102,-101.5,-101.5,0,0.1,0.1
-102,-101.54545454545455,-101.0,0,0.09090909090909091,0.1
-66,-98.58333333333333,-97.4,1,0.16666666666666666,0.2
-76,-96.84615384615384,-95.2,1,0.23076923076923078,0.3
-73,-95.14285714285714,-92.5,1,0.2857142857142857,0.4
-100,-95.46666666666667,-92.0,0,0.26666666666666666,0.4
-105,-96.0625,-91.9,0,0.25,0.4
-104,-96.52941176470588,-94.4,0,0.23529411764705882,0.3
-102,-96.83333333333333,-94.5,0,0.2222222222222222,0.3
-120,-98.05263157894737,-95.0,0,0.21052631578947367,0.3
-104,-98.35,-95.2,0,0.2,0.3
-95,-98.19047619047619,-94.5,0,0.19047619047619047,0.3
-86,-97.63636363636364,-96.5,0,0.18181818181818182,0.2
-106,-98.0,-99.5,0,0.17391304347826086,0.1
-104,-98.25,-102.6,0,0.16666666666666666,0.0
-103,-98.44,-102.9,0,0.16,0.0
-85,-97.92307692307692,-100.9,1,0.19230769230769232,0.1
-64,-96.66666666666667,-96.9,2,0.25925925925925924,0.3
195,-86.25,-67.2,13,0.7142857142857143,1.6
-55,-85.17241379310344,-60.7,3,0.7931034482758621,1.9
67,-80.1,-43.6,9,1.0666666666666667,2.8
254,-69.3225806451613,-8.7,16,1.5483870967741935,4.4
-31,-68.125,-3.2,3,1.59375,4.7
26,-65.27272727272727,10.0,6,1.7272727272727273,5.3
37,-62.26470588235294,24.1,5,1.8235294117647058,5.8
97,-57.714285714285715,44.1,9,2.0285714285714285,6.7
-109,-59.138888888888886,41.7,1,2.0,6.7
-65,-59.2972972972973,41.6,1,1.972972972972973,6.6
38,-56.73684210526316,25.9,6,2.0789473684210527,5.9
-77,-57.256410256410255,23.7,1,2.051282051282051,5.7
46,-54.675,21.6,6,2.15,5.4
-100,-55.78048780487805,-13.8,0,2.097560975609756,3.8
-100,-56.833333333333336,-20.7,0,2.0476190476190474,3.5
245,-49.81395348837209,1.2,15,2.3488372093023258,4.4
-86,-50.63636363636363,-11.1,2,2.340909090909091,4.1
-30,-50.17777777777778,-23.8,3,2.3555555555555556,3.5
-77,-50.76086956521739,-20.6,2,2.347826086956522,3.6
-38,-50.48936170212766,-17.9,2,2.3404255319148937,3.7
-85,-51.208333333333336,-30.2,1,2.3125,3.2
127,-47.57142857142857,-9.8,9,2.4489795918367347,4.0
-22,-47.06,-16.6,4,2.48,3.8
15,-45.84313725490196,-5.1,5,2.5294117647058822,4.3
-60,-46.11538461538461,-1.1,2,2.519230769230769,4.5
0,-45.24528301886792,-25.6,6,2.5849056603773586,3.6
36,-43.74074074074074,-13.4,6,2.6481481481481484,4.0
