reward,average reward,10 episode average reward,score,average score,10 episode average score
-93,-93.0,-93.0,0,0.0,0.0
-98,-95.5,-95.5,0,0.0,0.0
-105,-98.66666666666667,-98.66666666666667,0,0.0,0.0
-113,-102.25,-102.25,0,0.0,0.0
-115,-104.8,-104.8,0,0.0,0.0
-115,-106.5,-106.5,0,0.0,0.0
-91,-104.28571428571429,-104.28571428571429,0,0.0,0.0
-95,-103.125,-103.125,0,0.0,0.0
-75,-100.0,-100.0,1,0.1111111111111111,0.1111111111111111
-96,-99.6,-99.6,0,0.1,0.1
-92,-98.9090909090909,-99.5,0,0.09090909090909091,0.1
-98,-98.83333333333333,-99.5,0,0.08333333333333333,0.1
-100,-98.92307692307692,-99.0,0,0.07692307692307693,0.1
84,-85.85714285714286,-79.3,13,1.0,1.4
110,-72.8,-56.8,14,1.8666666666666667,2.8
49,-65.1875,-40.4,10,2.375,3.8
171,-51.294117647058826,-14.2,16,3.176470588235294,5.4
570,-16.77777777777778,52.3,32,4.777777777777778,8.6
67,-12.368421052631579,66.5,11,5.105263157894737,9.6
346,5.55,110.7,20,5.85,11.6
329,20.952380952380953,152.8,19,6.476190476190476,13.5
575,46.13636363636363,220.1,30,7.545454545454546,16.5
470,64.56521739130434,277.1,21,8.130434782608695,18.6
317,75.08333333333333,300.4,20,8.625,19.3
421,88.92,331.5,25,9.28,20.4
360,99.34615384615384,362.6,23,9.807692307692308,21.7
195,102.88888888888889,365.0,16,10.037037037037036,21.7
538,118.42857142857143,361.8,26,10.607142857142858,21.1
311,125.06896551724138,386.2,22,11.0,22.2
-73,118.46666666666667,344.3,5,10.8,20.7
550,132.38709677419354,366.4,29,11.387096774193548,21.7
69,130.40625,315.8,12,11.40625,19.9
111,129.8181818181818,279.9,9,11.333333333333334,18.7
654,145.23529411764707,313.6,35,12.029411764705882,20.2
910,167.0857142857143,362.5,44,12.942857142857143,22.1
186,167.61111111111111,345.1,16,13.027777777777779,21.4
548,177.8918918918919,380.4,29,13.45945945945946,22.7
212,178.78947368421052,347.8,12,13.421052631578947,21.3
565,188.69230769230768,373.2,28,13.794871794871796,21.9
431,194.75,423.6,26,14.1,24.0
209,195.09756097560975,389.5,18,14.195121951219512,22.9
534,203.16666666666666,436.0,31,14.595238095238095,24.8
398,207.69767441860466,464.7,25,14.837209302325581,26.4
267,209.04545454545453,426.0,19,14.931818181818182,24.8
284,210.7111111111111,363.4,21,15.066666666666666,22.5
316,213.0,376.4,23,15.23913043478261,23.2
233,213.4255319148936,344.9,17,15.27659574468085,22.0
72,210.47916666666666,330.9,11,15.1875,21.9
311,212.53061224489795,305.5,21,15.306122448979592,21.2
438,217.04,306.2,25,15.5,21.1
412,220.86274509803923,326.5,26,15.705882352941176,21.9
346,223.26923076923077,307.7,25,15.884615384615385,21.3
241,223.60377358490567,292.0,22,16.0,21.0
576,230.12962962962962,322.9,31,16.27777777777778,22.2
477,234.61818181818182,342.2,28,16.490909090909092,22.9
386,237.32142857142858,349.2,22,16.589285714285715,22.8
172,236.17543859649123,343.1,13,16.526315789473685,22.4
