reward,average reward,10 episode average reward,score,average score,10 episode average score
-114,-114.0,-114.0,0,0.0,0.0
-108,-111.0,-111.0,0,0.0,0.0
-87,-103.0,-103.0,1,0.3333333333333333,0.3333333333333333
-96,-101.25,-101.25,0,0.25,0.25
-111,-103.2,-103.2,0,0.2,0.2
-100,-102.66666666666667,-102.66666666666667,0,0.16666666666666666,0.16666666666666666
-104,-102.85714285714286,-102.85714285714286,0,0.14285714285714285,0.14285714285714285
-103,-102.875,-102.875,0,0.125,0.125
-81,-100.44444444444444,-100.44444444444444,1,0.2222222222222222,0.2222222222222222
-97,-100.1,-100.1,0,0.2,0.2
-92,-99.36363636363636,-97.9,0,0.18181818181818182,0.2
-92,-98.75,-96.3,0,0.16666666666666666,0.2
-98,-98.6923076923077,-97.4,0,0.15384615384615385,0.1
-89,-98.0,-96.7,0,0.14285714285714285,0.1
-53,-95.0,-90.9,1,0.2,0.2
-94,-94.9375,-90.3,0,0.1875,0.2
-96,-95.0,-89.5,0,0.17647058823529413,0.2
-96,-95.05555555555556,-88.8,0,0.16666666666666666,0.2
-96,-95.10526315789474,-90.3,0,0.15789473684210525,0.1
-96,-95.15,-90.2,0,0.15,0.1
-40,-92.52380952380952,-85.0,2,0.23809523809523808,0.3
-86,-92.22727272727273,-84.4,0,0.22727272727272727,0.3
-87,-92.0,-83.3,0,0.21739130434782608,0.3
-86,-91.75,-83.0,0,0.20833333333333334,0.3
-86,-91.52,-86.3,0,0.2,0.2
-86,-91.3076923076923,-85.5,0,0.19230769230769232,0.2
-4,-88.07407407407408,-76.3,6,0.4074074074074074,0.8
32,-83.78571428571429,-63.5,8,0.6785714285714286,1.6
-53,-82.72413793103448,-59.2,5,0.8275862068965517,2.1
105,-76.46666666666667,-39.1,11,1.1666666666666667,3.2
-58,-75.87096774193549,-40.9,6,1.3225806451612903,3.6
82,-70.9375,-24.1,11,1.625,4.7
-83,-71.3030303030303,-23.7,5,1.7272727272727273,5.2
30,-68.32352941176471,-12.1,8,1.911764705882353,6.0
-1,-66.4,-3.6,7,2.057142857142857,6.7
262,-57.27777777777778,31.2,19,2.5277777777777777,8.6
41,-54.62162162162162,35.7,6,2.6216216216216215,8.6
100,-50.55263157894737,42.5,12,2.8684210526315788,9.0
33,-48.41025641025641,51.1,7,2.9743589743589745,9.2
340,-38.7,74.6,20,3.4,10.1
74,-35.951219512195124,87.8,9,3.5365853658536586,10.4
376,-26.142857142857142,117.2,26,4.071428571428571,11.9
-91,-27.651162790697676,116.4,1,4.0,11.5
96,-24.84090909090909,123.0,11,4.159090909090909,11.8
71,-22.711111111111112,130.2,12,4.333333333333333,12.3
242,-16.956521739130434,128.2,19,4.6521739130434785,12.3
130,-13.829787234042554,137.1,14,4.851063829787234,13.1
57,-12.354166666666666,132.8,9,4.9375,12.8
403,-3.877551020408163,169.8,25,5.346938775510204,14.6
224,0.68,158.2,16,5.56,14.2
184,4.2745098039215685,169.2,16,5.764705882352941,14.9
-70,2.8461538461538463,124.6,5,5.75,12.8
116,4.981132075471698,145.3,15,5.9245283018867925,14.2
182,8.25925925925926,153.9,14,6.074074074074074,14.5
149,10.818181818181818,161.7,17,6.2727272727272725,15.0
94,12.303571428571429,146.9,13,6.392857142857143,14.4
-43,11.333333333333334,129.6,6,6.385964912280702,13.6
313,16.53448275862069,155.2,21,6.637931034482759,14.8
61,17.28813559322034,121.0,12,6.728813559322034,13.5
259,21.316666666666666,124.5,22,6.983333333333333,14.1
209,24.39344262295082,127.0,12,7.065573770491803,13.7
39,24.629032258064516,137.9,9,7.096774193548387,14.1
249,28.19047619047619,151.2,16,7.238095238095238,14.2
121,29.640625,145.1,11,7.296875,13.9
165,31.723076923076924,146.7,13,7.384615384615385,13.5
168,33.78787878787879,154.1,15,7.5,13.7
126,35.16417910447761,171.0,13,7.582089552238806,14.4
76,35.76470588235294,147.3,12,7.647058823529412,13.5
198,38.11594202898551,161.0,16,7.768115942028985,13.9
399,43.27142857142857,175.0,24,8.0,14.1
52,43.394366197183096,159.3,12,8.056338028169014,14.1
251,46.27777777777778,180.5,20,8.222222222222221,15.2
-47,45.0,150.9,6,8.191780821917808,14.2
109,45.86486486486486,149.7,12,8.243243243243244,14.3
365,50.12,169.7,27,8.493333333333334,15.7
71,50.39473684210526,160.0,12,8.539473684210526,15.4
179,52.064935064935064,165.3,14,8.61038961038961,15.5
587,58.92307692307692,216.4,33,8.923076923076923,17.6
243,61.25316455696203,220.9,20,9.063291139240507,18.0
449,66.1,225.9,25,9.2625,18.1
456,70.91358024691358,266.3,28,9.493827160493828,19.7
347,74.28048780487805,275.9,22,9.646341463414634,19.9
151,75.20481927710843,295.7,14,9.698795180722891,20.7
441,79.55952380952381,328.9,26,9.892857142857142,22.1
351,82.75294117647059,327.5,23,10.047058823529412,21.7
147,83.5,335.1,12,10.069767441860465,21.7
508,88.37931034482759,368.0,31,10.310344827586206,23.4
282,90.57954545454545,337.5,19,10.409090909090908,22.0
127,90.98876404494382,325.9,13,10.438202247191011,21.3
67,90.72222222222223,287.7,12,10.455555555555556,20.0
235,92.3076923076923,265.6,19,10.54945054945055,19.1
146,92.8913043478261,245.5,10,10.543478260869565,17.9
-72,91.11827956989248,223.2,1,10.440860215053764,16.6
469,95.13829787234043,226.0,28,10.627659574468085,16.8
403,98.37894736842105,231.2,25,10.778947368421052,17.0
128,98.6875,229.3,13,10.802083333333334,17.1
81,98.50515463917526,186.6,14,10.835051546391753,15.4
454,102.13265306122449,203.8,27,11.0,16.2
