reward,average reward,10 episode average reward,score,average score,10 episode average score
-118,-118.0,-118.0,0,0.0,0.0
-113,-115.5,-115.5,0,0.0,0.0
-115,-115.33333333333333,-115.33333333333333,0,0.0,0.0
-107,-113.25,-113.25,0,0.0,0.0
-108,-112.2,-112.2,0,0.0,0.0
-109,-111.66666666666667,-111.66666666666667,0,0.0,0.0
-118,-112.57142857142857,-112.57142857142857,0,0.0,0.0
-96,-110.5,-110.5,0,0.0,0.0
-29,-101.44444444444444,-101.44444444444444,8,0.8888888888888888,0.8888888888888888
87,-82.6,-82.6,11,1.9,1.9
569,-23.363636363636363,-13.9,32,4.636363636363637,5.1
449,16.0,42.3,23,6.166666666666667,7.4
318,39.23076923076923,85.6,19,7.153846153846154,9.3
-5,36.07142857142857,95.8,8,7.214285714285714,10.1
371,58.4,143.7,23,8.266666666666667,12.4
-82,49.625,146.4,1,7.8125,12.5
133,54.529411764705884,171.5,15,8.235294117647058,14.0
294,67.83333333333333,210.5,19,8.833333333333334,15.9
361,83.26315789473684,249.5,25,9.68421052631579,17.6
398,99.0,280.6,26,10.5,19.1
44,96.38095238095238,228.1,10,10.476190476190476,16.9
150,98.81818181818181,198.2,10,10.454545454545455,15.6
-12,94.0,165.2,4,10.173913043478262,14.1
337,104.125,199.4,19,10.541666666666666,15.2
317,112.64,194.0,22,11.0,15.1
-49,106.42307692307692,197.3,2,10.653846153846153,15.2
99,106.14814814814815,193.9,8,10.555555555555555,14.5
57,104.39285714285714,170.2,11,10.571428571428571,13.7
283,110.55172413793103,162.4,15,10.724137931034482,12.7
372,119.26666666666667,159.8,26,11.233333333333333,12.7
20,116.06451612903226,157.4,9,11.161290322580646,12.6
115,116.03125,153.9,13,11.21875,12.9
87,115.15151515151516,163.8,12,11.242424242424242,13.7
176,116.94117647058823,147.7,16,11.382352941176471,13.4
63,115.4,122.3,7,11.257142857142858,11.9
247,119.05555555555556,151.9,19,11.472222222222221,13.6
-12,115.51351351351352,140.8,8,11.378378378378379,13.6
85,114.71052631578948,143.6,9,11.31578947368421,13.4
130,115.1025641025641,128.3,10,11.282051282051283,12.9
127,115.4,103.8,14,11.35,11.7
23,113.14634146341463,104.1,9,11.292682926829269,11.7
-41,109.47619047619048,88.5,6,11.166666666666666,11.0
234,112.37209302325581,103.2,14,11.232558139534884,11.2
105,112.20454545454545,96.1,14,11.295454545454545,11.0
208,114.33333333333333,110.6,18,11.444444444444445,12.1
-20,111.41304347826087,83.9,3,11.26086956521739,10.5
19,109.44680851063829,87.0,9,11.212765957446809,10.6
237,112.10416666666667,102.2,19,11.375,11.6
167,113.22448979591837,105.9,12,11.387755102040817,11.8
194,114.84,112.6,16,11.48,12.0
242,117.33333333333333,134.5,16,11.568627450980392,12.7
476,124.23076923076923,186.2,29,11.903846153846153,15.0
191,125.49056603773585,181.9,19,12.037735849056604,15.5
306,128.83333333333334,202.0,23,12.24074074074074,16.4
86,128.05454545454546,189.8,13,12.254545454545454,15.9
257,130.35714285714286,217.5,22,12.428571428571429,17.8
73,129.35087719298247,222.9,13,12.43859649122807,18.2
242,131.29310344827587,223.4,19,12.551724137931034,18.2
45,129.83050847457628,211.2,12,12.542372881355933,18.2
15,127.91666666666667,193.3,6,12.433333333333334,17.2
270,130.24590163934425,196.1,20,12.557377049180328,17.6
309,133.1290322580645,179.4,20,12.67741935483871,16.7
96,132.53968253968253,169.9,12,12.666666666666666,16.0
82,131.75,147.5,12,12.65625,14.9
64,130.7076923076923,145.3,7,12.569230769230769,14.3
664,138.78787878787878,186.0,34,12.893939393939394,15.5
387,142.49253731343285,217.4,25,13.074626865671641,16.7
85,141.64705882352942,201.7,13,13.073529411764707,16.1
157,141.8695652173913,212.9,14,13.08695652173913,16.3
353,144.88571428571427,246.7,23,13.228571428571428,18.0
504,149.94366197183098,270.1,24,13.380281690140846,18.4
467,154.34722222222223,285.9,28,13.583333333333334,19.2
132,154.04109589041096,289.5,10,13.534246575342467,19.0
257,155.43243243243242,307.0,19,13.608108108108109,19.7
96,154.64,310.2,12,13.586666666666666,20.2
91,153.80263157894737,252.9,13,13.578947368421053,18.1
508,158.4025974025974,265.0,30,13.792207792207792,18.6
-46,155.78205128205127,251.9,8,13.717948717948717,18.1
306,157.68354430379748,266.8,21,13.810126582278482,18.8
379,160.45,269.4,24,13.9375,18.9
227,161.2716049382716,241.7,16,13.962962962962964,18.1
65,160.09756097560975,201.5,5,13.853658536585366,15.8
265,161.36144578313252,214.8,18,13.903614457831326,16.6
17,159.64285714285714,190.8,5,13.797619047619047,15.2
246,160.65882352941176,205.8,18,13.847058823529412,15.8
543,165.1046511627907,251.0,29,14.023255813953488,17.4
-68,162.42528735632183,193.4,5,13.919540229885058,14.9
49,161.13636363636363,202.9,6,13.829545454545455,14.7
328,163.01123595505618,205.1,21,13.910112359550562,14.7
99,162.3,177.1,13,13.9,13.6
315,163.97802197802199,185.9,24,14.010989010989011,14.4
693,169.72826086956522,248.7,38,14.271739130434783,17.7
-3,167.8709677419355,221.9,6,14.182795698924732,16.5
-21,165.86170212765958,218.1,4,14.074468085106384,16.4
310,167.37894736842105,224.5,19,14.126315789473685,16.5
104,166.71875,180.6,12,14.104166666666666,14.8
145,166.49484536082474,201.9,15,14.11340206185567,15.8
-42,164.3673469387755,192.8,6,14.03061224489796,15.8
93,163.64646464646464,169.3,12,14.01010101010101,14.9
110,163.11,170.4,14,14.01,15.0
191,163.3861386138614,158.0,17,14.03960396039604,14.3
300,164.72549019607843,118.7,21,14.107843137254902,12.6
-32,162.81553398058253,115.8,4,14.009708737864077,12.4
250,163.65384615384616,142.9,16,14.028846153846153,13.6
51,162.58095238095237,117.0,9,13.980952380952381,12.6
192,162.85849056603774,125.8,17,14.00943396226415,13.1
-85,160.54205607476635,102.8,5,13.925233644859814,12.1
370,162.4814814814815,144.0,24,14.018518518518519,13.9
-51,160.52293577981652,129.6,5,13.935779816513762,13.2
112,160.0818181818182,129.8,8,13.881818181818181,12.6
267,161.04504504504504,137.4,19,13.927927927927929,12.8
355,162.77678571428572,142.9,24,14.017857142857142,13.1
334,164.2920353982301,179.5,20,14.070796460176991,14.7
475,167.01754385964912,202.0,25,14.166666666666666,15.6
118,166.59130434782608,208.7,13,14.156521739130435,16.0
348,168.1551724137931,224.3,21,14.21551724137931,16.4
131,167.83760683760684,245.9,10,14.179487179487179,16.9
104,167.29661016949152,219.3,13,14.169491525423728,15.8
336,168.71428571428572,258.0,24,14.252100840336135,17.7
321,169.98333333333332,278.9,21,14.308333333333334,19.0
160,169.900826446281,268.2,16,14.322314049586776,18.7
-45,168.13934426229508,228.2,6,14.254098360655737,16.9
9,166.84552845528455,195.7,9,14.211382113821138,15.8
198,167.09677419354838,168.0,16,14.225806451612904,14.9
-43,165.416,151.9,7,14.168,14.3
466,167.8015873015873,163.7,26,14.261904761904763,14.8
416,169.75590551181102,192.2,24,14.338582677165354,16.2
296,170.7421875,211.4,19,14.375,16.8
186,170.86046511627907,196.4,16,14.387596899224807,16.0
330,172.08461538461538,197.3,21,14.438461538461539,16.0
8,170.8320610687023,182.1,9,14.396946564885496,15.3
363,172.28787878787878,222.9,25,14.477272727272727,17.2
355,173.66165413533835,257.5,25,14.556390977443609,18.8
0,172.36567164179104,237.7,7,14.5,17.9
341,173.61481481481482,276.1,22,14.555555555555555,19.4
439,175.56617647058823,273.4,27,14.647058823529411,19.5
194,175.7007299270073,251.2,17,14.664233576642335,18.8
10,174.5,222.6,11,14.63768115942029,18.0
61,173.68345323741008,210.1,12,14.618705035971223,17.6
500,176.0142857142857,227.1,29,14.721428571428572,18.4
