reward,average reward,10 episode average reward,score,average score,10 episode average score
-98,-98.0,-98.0,0,0.0,0.0
-100,-99.0,-99.0,0,0.0,0.0
-109,-102.33333333333333,-102.33333333333333,0,0.0,0.0
-111,-104.5,-104.5,0,0.0,0.0
-104,-104.4,-104.4,0,0.0,0.0
-109,-105.16666666666667,-105.16666666666667,0,0.0,0.0
-92,-103.28571428571429,-103.28571428571429,0,0.0,0.0
-118,-105.125,-105.125,0,0.0,0.0
-111,-105.77777777777777,-105.77777777777777,0,0.0,0.0
-112,-106.4,-106.4,0,0.0,0.0
-101,-105.9090909090909,-106.7,0,0.0,0.0
-78,-103.58333333333333,-104.5,1,0.08333333333333333,0.1
-96,-103.0,-103.2,0,0.07692307692307693,0.1
-104,-103.07142857142857,-102.5,0,0.07142857142857142,0.1
-88,-102.06666666666666,-100.9,1,0.13333333333333333,0.2
-109,-102.5,-100.9,0,0.125,0.2
-67,-100.41176470588235,-98.4,2,0.23529411764705882,0.4
-56,-97.94444444444444,-92.2,2,0.3333333333333333,0.6
-71,-96.52631578947368,-88.2,1,0.3684210526315789,0.7
-81,-95.75,-85.1,1,0.4,0.8
-87,-95.33333333333333,-83.7,0,0.38095238095238093,0.8
-79,-94.5909090909091,-83.8,1,0.4090909090909091,0.8
-60,-93.08695652173913,-80.2,2,0.4782608695652174,1.0
-85,-92.75,-78.3,1,0.5,1.1
-70,-91.84,-76.5,1,0.52,1.1
-60,-90.61538461538461,-71.6,3,0.6153846153846154,1.4
-97,-90.85185185185185,-74.6,1,0.6296296296296297,1.3
259,-78.35714285714286,-43.1,17,1.2142857142857142,2.8
87,-72.65517241379311,-27.3,9,1.4827586206896552,3.6
76,-67.7,-11.6,8,1.7,4.3
-80,-68.09677419354838,-10.9,1,1.6774193548387097,4.4
15,-65.5,-1.5,5,1.78125,4.8
-52,-65.0909090909091,-0.7,2,1.7878787878787878,4.8
-6,-63.35294117647059,7.2,4,1.8529411764705883,5.1
-91,-64.14285714285714,5.1,1,1.8285714285714285,5.1
-60,-64.02777777777777,5.1,2,1.8333333333333333,5.0
-73,-64.27027027027027,7.5,1,1.8108108108108107,5.0
-85,-64.8157894736842,-26.9,1,1.7894736842105263,3.4
-25,-63.794871794871796,-38.1,3,1.8205128205128205,2.8
-73,-64.025,-53.0,1,1.8,2.1
-38,-63.390243902439025,-48.8,4,1.853658536585366,2.4
-103,-64.33333333333333,-60.6,1,1.8333333333333333,2.0
-76,-64.6046511627907,-63.0,2,1.8372093023255813,2.0
-45,-64.1590909090909,-66.9,3,1.8636363636363635,1.9
-11,-62.977777777777774,-58.9,5,1.9333333333333333,2.3
17,-61.23913043478261,-51.2,5,2.0,2.6
-63,-61.276595744680854,-50.2,3,2.021276595744681,2.8
-79,-61.645833333333336,-49.6,1,2.0,2.8
-63,-61.673469387755105,-53.4,1,1.9795918367346939,2.6
-85,-62.14,-54.6,1,1.96,2.6
-25,-61.411764705882355,-53.3,3,1.9803921568627452,2.5
-48,-61.15384615384615,-47.8,2,1.9807692307692308,2.6
-21,-60.39622641509434,-42.3,3,2.0,2.7
73,-57.925925925925924,-30.5,7,2.0925925925925926,3.1
-39,-57.58181818181818,-33.3,3,2.109090909090909,2.9
-79,-57.964285714285715,-42.9,1,2.0892857142857144,2.5
-43,-57.70175438596491,-40.9,3,2.1052631578947367,2.5
-91,-58.275862068965516,-42.1,1,2.086206896551724,2.5
-53,-58.186440677966104,-41.1,3,2.1016949152542375,2.7
-66,-58.31666666666667,-39.2,2,2.1,2.8
-70,-58.50819672131148,-43.7,2,2.098360655737705,2.7
-69,-58.67741935483871,-45.8,1,2.0806451612903225,2.6
60,-56.79365079365079,-37.7,8,2.1746031746031744,3.1
-81,-57.171875,-53.1,1,2.15625,2.5
20,-55.98461538461538,-47.2,6,2.2153846153846155,2.8
63,-54.18181818181818,-33.0,9,2.3181818181818183,3.6
-81,-54.582089552238806,-36.8,1,2.298507462686567,3.4
-88,-55.0735294117647,-36.5,2,2.2941176470588234,3.5
-77,-55.391304347826086,-38.9,1,2.2753623188405796,3.3
-85,-55.81428571428572,-40.8,1,2.257142857142857,3.2
83,-53.859154929577464,-25.5,9,2.352112676056338,3.9
-30,-53.52777777777778,-21.6,4,2.375,4.2
-76,-53.83561643835616,-35.2,1,2.356164383561644,3.5
2,-53.08108108108108,-26.9,6,2.4054054054054053,4.0
-21,-52.653333333333336,-31.0,3,2.4133333333333336,3.7
-83,-53.05263157894737,-45.6,1,2.3947368421052633,2.9
-84,-53.45454545454545,-45.9,1,2.3766233766233764,2.9
-93,-53.96153846153846,-46.4,1,2.358974358974359,2.8
-66,-54.11392405063291,-45.3,2,2.3544303797468356,2.9
-64,-54.2375,-43.2,2,2.35,3.0
-85,-54.617283950617285,-60.0,1,2.3333333333333335,2.2
-78,-54.90243902439025,-64.8,1,2.317073170731707,1.9
-95,-55.3855421686747,-66.7,1,2.3012048192771086,1.9
-51,-55.333333333333336,-72.0,3,2.3095238095238093,1.6
30,-54.32941176470588,-66.9,6,2.3529411764705883,1.9
-41,-54.174418604651166,-62.7,3,2.36046511627907,2.1
106,-52.333333333333336,-43.7,8,2.425287356321839,2.8
-79,-52.63636363636363,-42.3,1,2.409090909090909,2.8
-87,-53.02247191011236,-44.4,1,2.393258426966292,2.7
-67,-53.17777777777778,-44.7,1,2.3777777777777778,2.6
-81,-53.48351648351648,-44.3,1,2.3626373626373627,2.6
-65,-53.608695652173914,-43.0,1,2.347826086956522,2.6
-27,-53.32258064516129,-36.2,3,2.3548387096774195,2.8
-66,-53.45744680851064,-37.7,2,2.351063829787234,2.7
54,-52.32631578947368,-35.3,8,2.4105263157894736,2.9
-16,-51.947916666666664,-32.8,4,2.4270833333333335,3.0
-5,-51.4639175257732,-43.9,5,2.4536082474226806,2.7
42,-50.51020408163265,-31.8,7,2.5,3.3
-73,-50.73737373737374,-30.4,1,2.484848484848485,3.3
-93,-51.16,-33.0,1,2.47,3.3
444,-46.257425742574256,19.5,21,2.6534653465346536,5.3
139,-44.44117647058823,39.9,11,2.735294117647059,6.3
-47,-44.46601941747573,37.9,2,2.7281553398058254,6.2
