reward,average reward,10 episode average reward,score,average score,10 episode average score
-1004,-1004.0,-1004.0,0,0.0,0.0
-1000,-1002.0,-1002.0,0,0.0,0.0
-1009,-1004.3333333333334,-1004.3333333333334,0,0.0,0.0
-1009,-1005.5,-1005.5,0,0.0,0.0
-994,-1003.2,-1003.2,0,0.0,0.0
-1009,-1004.1666666666666,-1004.1666666666666,0,0.0,0.0
-979,-1000.5714285714286,-1000.5714285714286,1,0.14285714285714285,0.14285714285714285
-1002,-1000.75,-1000.75,0,0.125,0.125
-1009,-1001.6666666666666,-1001.6666666666666,0,0.1111111111111111,0.1111111111111111
-1003,-1001.8,-1001.8,0,0.1,0.1
-991,-1000.8181818181819,-1000.5,0,0.09090909090909091,0.1
-1002,-1000.9166666666666,-1000.7,0,0.08333333333333333,0.1
-1004,-1001.1538461538462,-1000.2,0,0.07692307692307693,0.1
-1001,-1001.1428571428571,-999.4,0,0.07142857142857142,0.1
-1002,-1001.2,-1000.2,0,0.06666666666666667,0.1
-1859,-1054.8125,-1085.2,6,0.4375,0.7
-1854,-1101.8235294117646,-1172.7,8,0.8823529411764706,1.4
-1786,-1139.8333333333333,-1251.1,10,1.3888888888888888,2.4
-1407,-1153.8947368421052,-1290.9,24,2.5789473684210527,4.8
-1486,-1170.5,-1339.2,24,3.65,7.2
-1449,-1183.7619047619048,-1385.0,21,4.476190476190476,9.3
-1646,-1204.7727272727273,-1449.4,15,4.954545454545454,10.8
-1576,-1220.9130434782608,-1506.6,20,5.608695652173913,12.8
-1892,-1248.875,-1595.7,5,5.583333333333333,13.3
-816,-1231.56,-1577.1,9,5.72,14.2
-1611,-1246.1538461538462,-1552.3,17,6.153846153846154,15.3
-804,-1229.7777777777778,-1447.3,9,6.2592592592592595,15.4
-1478,-1238.642857142857,-1416.5,21,6.785714285714286,16.5
-1826,-1258.896551724138,-1458.4,7,6.793103448275862,14.8
-1506,-1267.1333333333334,-1460.4,19,7.2,14.3
-978,-1257.8064516129032,-1413.3,1,7.0,12.3
-1416,-1262.75,-1390.3,25,7.5625,13.3
-1443,-1268.2121212121212,-1377.0,24,8.06060606060606,13.7
-1886,-1286.3823529411766,-1376.4,5,7.970588235294118,13.7
-1498,-1292.4285714285713,-1444.6,23,8.4,15.1
-1526,-1298.9166666666667,-1436.1,20,8.722222222222221,15.4
-937,-1289.1351351351352,-1449.4,2,8.54054054054054,14.7
-699,-1273.6052631578948,-1371.5,13,8.657894736842104,13.9
-1854,-1288.4871794871794,-1374.3,6,8.58974358974359,13.8
-1415,-1291.65,-1365.2,24,8.975,14.3
-1582,-1298.7317073170732,-1425.6,19,9.21951219512195,16.1
-1640,-1306.857142857143,-1448.0,17,9.404761904761905,15.3
-1793,-1318.1627906976744,-1483.0,11,9.44186046511628,14.0
-616,-1302.2045454545455,-1356.0,17,9.613636363636363,15.2
-1206,-1300.0666666666666,-1326.8,33,10.133333333333333,16.2
-1644,-1307.5434782608695,-1338.6,16,10.26086956521739,15.8
-1702,-1315.936170212766,-1415.1,15,10.361702127659575,17.1
-949,-1308.2916666666667,-1440.1,2,10.1875,16.0
-1504,-1312.2857142857142,-1405.1,22,10.428571428571429,17.6
-1203,-1310.1,-1383.9,35,10.92,18.7
-1442,-1312.686274509804,-1369.9,26,11.215686274509803,19.4
-1271,-1311.8846153846155,-1333.0,29,11.557692307692308,20.6
-1173,-1309.2641509433963,-1271.0,33,11.962264150943396,22.8
-1593,-1314.5185185185185,-1368.7,18,12.074074074074074,22.9
-1282,-1313.9272727272728,-1376.3,29,12.381818181818181,22.5
-1541,-1317.982142857143,-1366.0,19,12.5,22.8
-1518,-1321.4912280701753,-1347.6,23,12.68421052631579,23.6
-1124,-1318.0862068965516,-1365.1,37,13.10344827586207,27.1
-1612,-1323.0677966101696,-1375.9,16,13.152542372881356,26.5
-1823,-1331.4,-1437.9,8,13.066666666666666,23.8
-1497,-1334.1147540983607,-1443.4,23,13.229508196721312,23.5
-529,-1321.1290322580646,-1369.2,20,13.338709677419354,22.6
-1513,-1324.1746031746031,-1403.2,21,13.46031746031746,21.4
-989,-1318.9375,-1342.8,1,13.265625,19.7
-1216,-1317.3538461538462,-1336.2,33,13.569230769230769,20.1
-1457,-1319.469696969697,-1327.8,25,13.742424242424242,20.7
-1622,-1323.9850746268658,-1338.2,17,13.791044776119403,20.1
-657,-1314.1764705882354,-1291.5,16,13.823529411764707,18.0
-1165,-1312.0144927536232,-1246.8,34,14.115942028985508,19.8
-1412,-1313.442857142857,-1205.7,25,14.271428571428572,21.5
-1598,-1317.4507042253522,-1215.8,21,14.366197183098592,21.3
-1083,-1314.1944444444443,-1271.2,40,14.722222222222221,23.3
-1719,-1319.7397260273972,-1291.8,14,14.712328767123287,22.6
-1495,-1322.1081081081081,-1342.4,23,14.824324324324325,24.8
-1093,-1319.0533333333333,-1330.1,37,15.12,25.2
-1252,-1318.171052631579,-1309.6,33,15.355263157894736,26.0
-1386,-1319.051948051948,-1286.0,28,15.519480519480519,27.1
-1718,-1324.1666666666667,-1392.1,14,15.5,26.9
-1538,-1326.873417721519,-1429.4,19,15.544303797468354,25.4
-1526,-1329.3625,-1440.8,19,15.5875,24.8
-1422,-1330.5061728395062,-1423.2,27,15.728395061728396,25.4
-1495,-1332.5121951219512,-1464.4,21,15.792682926829269,23.5
