reward,average reward,10 episode average reward,score,average score,10 episode average score
-1003,-1003.0,-1003.0,0,0.0,0.0
-1016,-1009.5,-1009.5,0,0.0,0.0
-1002,-1007.0,-1007.0,0,0.0,0.0
-1009,-1007.5,-1007.5,0,0.0,0.0
-1006,-1007.2,-1007.2,0,0.0,0.0
-998,-1005.6666666666666,-1005.6666666666666,0,0.0,0.0
-991,-1003.5714285714286,-1003.5714285714286,0,0.0,0.0
-1010,-1004.375,-1004.375,0,0.0,0.0
-991,-1002.8888888888889,-1002.8888888888889,0,0.0,0.0
-994,-1002.0,-1002.0,0,0.0,0.0
-987,-1000.6363636363636,-1000.4,1,0.09090909090909091,0.1
-1009,-1001.3333333333334,-999.7,0,0.08333333333333333,0.1
-1008,-1001.8461538461538,-1000.3,0,0.07692307692307693,0.1
-980,-1000.2857142857143,-997.4,1,0.14285714285714285,0.2
-992,-999.7333333333333,-996.0,0,0.13333333333333333,0.2
-990,-999.125,-995.2,0,0.125,0.2
-1000,-999.1764705882352,-996.1,0,0.11764705882352941,0.2
-992,-998.7777777777778,-994.3,0,0.1111111111111111,0.2
-977,-997.6315789473684,-992.9,1,0.15789473684210525,0.3
-1004,-997.95,-993.9,0,0.15,0.3
-1002,-998.1428571428571,-995.4,0,0.14285714285714285,0.2
-1004,-998.4090909090909,-994.9,0,0.13636363636363635,0.2
-995,-998.2608695652174,-993.6,0,0.13043478260869565,0.2
-1006,-998.5833333333334,-996.2,0,0.125,0.1
-995,-998.44,-996.5,0,0.12,0.1
-1012,-998.9615384615385,-998.7,0,0.11538461538461539,0.1
-1002,-999.074074074074,-998.9,0,0.1111111111111111,0.1
-1004,-999.25,-1000.1,0,0.10714285714285714,0.1
-1004,-999.4137931034483,-1002.8,0,0.10344827586206896,0.0
-1000,-999.4333333333333,-1002.4,0,0.1,0.0
-959,-998.1290322580645,-998.1,1,0.12903225806451613,0.1
-787,-991.53125,-976.4,9,0.40625,1.0
-808,-985.969696969697,-957.7,9,0.6666666666666666,1.9
-1000,-986.3823529411765,-957.1,0,0.6470588235294118,1.9
-1000,-986.7714285714286,-957.6,0,0.6285714285714286,1.9
-1822,-1009.9722222222222,-1038.6,7,0.8055555555555556,2.6
-1795,-1031.1891891891892,-1117.9,11,1.0810810810810811,3.7
-824,-1025.7368421052631,-1099.9,8,1.263157894736842,4.5
-1880,-1047.6410256410256,-1187.5,6,1.3846153846153846,5.1
