reward,average reward,10 episode average reward,score,average score,10 episode average score
-1009,-1009.0,-1009.0,0,0.0,0.0
-988,-998.5,-998.5,1,0.5,0.5
-1008,-1001.6666666666666,-1001.6666666666666,0,0.3333333333333333,0.3333333333333333
-993,-999.5,-999.5,0,0.25,0.25
-1017,-1003.0,-1003.0,0,0.2,0.2
-1001,-1002.6666666666666,-1002.6666666666666,0,0.16666666666666666,0.16666666666666666
-1001,-1002.4285714285714,-1002.4285714285714,0,0.14285714285714285,0.14285714285714285
-995,-1001.5,-1001.5,0,0.125,0.125
-987,-999.8888888888889,-999.8888888888889,0,0.1111111111111111,0.1111111111111111
-978,-997.7,-997.7,1,0.2,0.2
-1017,-999.4545454545455,-998.5,0,0.18181818181818182,0.2
-1014,-1000.6666666666666,-1001.1,0,0.16666666666666666,0.1
-1008,-1001.2307692307693,-1001.1,0,0.15384615384615385,0.1
-1889,-1064.642857142857,-1090.7,6,0.5714285714285714,0.7
-998,-1060.2,-1088.8,0,0.5333333333333333,0.7
-1815,-1107.375,-1170.2,9,1.0625,1.6
-1879,-1152.764705882353,-1258.0,5,1.2941176470588236,2.1
-1879,-1193.111111111111,-1346.4,6,1.5555555555555556,2.7
-1770,-1223.4736842105262,-1424.7,10,2.0,3.7
-767,-1200.65,-1403.6,11,2.45,4.7
-1910,-1234.4285714285713,-1492.9,5,2.5714285714285716,5.2
-965,-1222.1818181818182,-1488.0,2,2.5454545454545454,5.4
-1574,-1237.4782608695652,-1544.6,18,3.217391304347826,7.2
-1468,-1247.0833333333333,-1502.5,24,4.083333333333333,9.0
-1226,-1246.24,-1525.3,31,5.16,12.1
-1744,-1265.3846153846155,-1518.2,11,5.384615384615385,12.3
-1457,-1272.4814814814815,-1476.0,20,5.925925925925926,13.8
-1648,-1285.892857142857,-1452.9,16,6.285714285714286,14.8
-955,-1274.4827586206898,-1371.4,2,6.137931034482759,14.0
-1787,-1291.5666666666666,-1473.4,10,6.266666666666667,13.9
-1801,-1308.0,-1462.5,8,6.32258064516129,14.2
-1710,-1320.5625,-1537.0,13,6.53125,15.3
-1717,-1332.5757575757575,-1551.3,12,6.696969696969697,14.7
-1662,-1342.264705882353,-1570.7,16,6.970588235294118,13.9
-749,-1325.3142857142857,-1523.0,11,7.085714285714285,11.9
-452,-1301.0555555555557,-1393.8,25,7.583333333333333,13.3
-1486,-1306.054054054054,-1396.7,24,8.027027027027026,13.7
-1759,-1317.9736842105262,-1407.8,12,8.131578947368421,13.3
-1887,-1332.5641025641025,-1501.0,7,8.102564102564102,13.8
-1771,-1343.525,-1499.4,12,8.2,14.0
-1551,-1348.5853658536585,-1474.4,19,8.463414634146341,15.1
-997,-1340.2142857142858,-1403.1,1,8.285714285714286,13.9
-726,-1325.9302325581396,-1304.0,11,8.348837209302326,13.8
