reward,average reward,10 episode average reward,score,average score,10 episode average score
-1010,-1010.0,-1010.0,0,0.0,0.0
-997,-1003.5,-1003.5,0,0.0,0.0
-1003,-1003.3333333333334,-1003.3333333333334,0,0.0,0.0
-1007,-1004.25,-1004.25,0,0.0,0.0
-1006,-1004.6,-1004.6,0,0.0,0.0
-1015,-1006.3333333333334,-1006.3333333333334,0,0.0,0.0
-1007,-1006.4285714285714,-1006.4285714285714,0,0.0,0.0
-1010,-1006.875,-1006.875,0,0.0,0.0
-1010,-1007.2222222222222,-1007.2222222222222,0,0.0,0.0
-988,-1005.3,-1005.3,1,0.1,0.1
-1007,-1005.4545454545455,-1005.0,0,0.09090909090909091,0.1
-1008,-1005.6666666666666,-1006.1,0,0.08333333333333333,0.1
-1005,-1005.6153846153846,-1006.3,0,0.07692307692307693,0.1
-1014,-1006.2142857142857,-1007.0,0,0.07142857142857142,0.1
-935,-1001.4666666666667,-999.9,3,0.26666666666666666,0.4
-978,-1000.0,-996.2,1,0.3125,0.5
-994,-999.6470588235294,-994.9,0,0.29411764705882354,0.5
-988,-999.0,-992.7,1,0.3333333333333333,0.6
-919,-994.7894736842105,-983.6,4,0.5263157894736842,1.0
-975,-993.8,-982.3,1,0.55,1.0
-979,-993.0952380952381,-979.5,1,0.5714285714285714,1.1
-939,-990.6363636363636,-972.6,3,0.6818181818181818,1.4
-961,-989.3478260869565,-968.2,1,0.6956521739130435,1.5
-981,-989.0,-964.9,1,0.7083333333333334,1.6
-891,-985.08,-960.5,5,0.88,1.8
-961,-984.1538461538462,-958.8,2,0.9230769230769231,1.9
-927,-982.0370370370371,-952.1,5,1.0740740740740742,2.4
-770,-974.4642857142857,-930.3,10,1.3928571428571428,3.3
-956,-973.8275862068965,-934.0,2,1.4137931034482758,3.1
-1008,-974.9666666666667,-937.3,0,1.3666666666666667,3.0
-917,-973.0967741935484,-931.1,4,1.4516129032258065,3.3
-964,-972.8125,-933.6,2,1.46875,3.2
-933,-971.6060606060606,-930.8,3,1.5151515151515151,3.4
-989,-972.1176470588235,-931.6,1,1.5,3.4
-977,-972.2571428571429,-940.2,1,1.4857142857142858,3.0
-928,-971.0277777777778,-936.9,3,1.5277777777777777,3.1
-1003,-971.8918918918919,-944.5,1,1.5135135135135136,2.7
-979,-972.078947368421,-965.4,2,1.5263157894736843,1.9
-947,-971.4358974358975,-964.5,3,1.564102564102564,2.0
-973,-971.475,-961.0,1,1.55,2.1
-873,-969.0731707317074,-956.6,5,1.6341463414634145,2.2
-875,-966.8333333333334,-947.7,7,1.7619047619047619,2.7
-891,-965.0697674418604,-943.5,5,1.8372093023255813,2.9
-941,-964.5227272727273,-938.7,3,1.8636363636363635,3.1
